block,powers,wealth
0,4,9
52596,4,9
105192,4,9
157788,4,9
210384,4,9
262980,4,9
315576,4,9
368172,4,9
420768,4,9
473364,4,9
525960,4,9
578556,4,9
631152,4,9
683748,4,9
736344,4,9
788940,4,9
841536,4,9
894132,4,9
946728,4,9
999324,4,9
1051920,4,9
1104516,4,9
1157112,4,9
1209708,4,9
1262304,4,9
1314900,4,9
1367496,4,9
1420092,4,9
1472688,4,9
1525284,4,9
1577880,4,9
1630476,4,9
1683072,4,9
1735668,4,9
1788264,4,9
1840860,4,9
1893456,4,9
1946052,4,9
1998648,4,9
2051244,4,10
2103840,4,10
2156436,4,10
2209032,4,10
2261628,4,10
2314224,4,10
2366820,4,10
2419416,4,10
2472012,4,10
2524608,4,10
2577204,4,10
2629800,4,10
2682396,4,10
2734992,4,10
2787588,4,10
2840184,4,10
2892780,4,10
2945376,4,10
2997972,4,10
3050568,4,10
3103164,4,10
3155760,4,10
3208356,4,10
3260952,4,10
3313548,4,10
3366144,4,10
3418740,4,10
3471336,4,10
3523932,4,10
3576528,4,10
3629124,4,10
3681720,4,10
3734316,4,10
3786912,4,10
3839508,4,10
3892104,4,10
3944700,4,10
3997296,4,10
4049892,4,10
4102488,4,10
4155084,4,10
4207680,4,10
4260276,4,10
4312872,4,10
4365468,4,10
4418064,4,10
4470660,4,10
4523256,4,10
4575852,4,10
4628448,4,10
4681044,4,10
4733640,4,10
4786236,4,10
4838832,4,10
4891428,4,10
4944024,4,10
4996620,4,10
5049216,4,10
5101812,4,10
5154408,4,10
5207004,4,10
5259600,4,10
5312196,4,10
5364792,4,10
5417388,4,10
5469984,4,10
5522580,4,10
5575176,4,10
5627772,4,10
5680368,4,10
5732964,4,10
5785560,4,10
5838156,4,10
5890752,4,10
5943348,4,10
5995944,4,10
6048540,4,10
6101136,4,10
6153732,4,10
6206328,4,10
6258924,4,10
6311520,4,10
6364116,4,10
6416712,4,10
6469308,4,10
6521904,4,10
6574500,4,10
6627096,4,10
6679692,4,10
6732288,4,10
6784884,4,10
6837480,4,10
6890076,4,10
6942672,4,10
6995268,4,10
7047864,4,10
7100460,4,10
7153056,4,10
7205652,4,10
7258248,4,10
7310844,4,10
7363440,4,10
7416036,4,10
7468632,4,10
7521228,4,10
7573824,4,10
7626420,4,10
7679016,4,10
7731612,4,10
7784208,4,10
7836804,4,10
7889400,4,10
7941996,4,10
7994592,4,10
8047188,4,10
8099784,4,10
8152380,4,10
8204976,4,10
8257572,4,10
8310168,4,10
8362764,4,10
8415360,4,10
8467956,4,10
8520552,4,10
8573148,4,10
8625744,4,10
8678340,4,10
8730936,4,10
8783532,4,10
8836128,4,10
8888724,4,10
8941320,4,10
8993916,4,10
9046512,4,10
9099108,4,10
9151704,4,10
9204300,4,10
9256896,4,10
9309492,4,10
9362088,4,10
9414684,4,10
9467280,4,10
9519876,4,10
9572472,4,10
9625068,4,10
9677664,4,10
9730260,4,10
9782856,4,10
9835452,4,10
9888048,4,10
9940644,4,10
9993240,4,10
